3550308,SAO PAULO,35000848,JOAQUIM LEME DO PRADO PROF
3550308,SAO PAULO,35000851,JULIO MAIA
3550308,SAO PAULO,35000863,JOSE MARCELINO DA FONSECA MAJOR
3550308,SAO PAULO,35000875,CASTRO ALVES
3550308,SAO PAULO,35000899,PEDRO COSTA DEPUTADO
3550308,SAO PAULO,35000905,CARLOS DE LAET PROF
3550308,SAO PAULO,35000917,ANTONIO LISBOA PROF
3550308,SAO PAULO,35000929,ANTONIO VIEIRA PADRE
3550308,SAO PAULO,35000930,HOMEM DE MELLO BARAO
3550308,SAO PAULO,35000942,BUENOS AIRES
3550308,SAO PAULO,35000954,HORACIO AUGUSTO DA SILVEIRA PROF ETE
3550308,SAO PAULO,35000966,GONCALVES DIAS
3550308,SAO PAULO,35000978,CASIMIRO DE ABREU
3550308,SAO PAULO,35000985,REPUBLICA DA BOLIVIA
3550308,SAO PAULO,35001004,EURICO FIGUEIREDO PROF
3550308,SAO PAULO,35001016,ALBERTO CARDOSO DE MELLO NETO DR
3550308,SAO PAULO,35001028,VICTOR DOS SANTOS CUNHA PROF
3550308,SAO PAULO,35001036,SEBASTIAO DE SOUZA BUENO PROF
3550308,SAO PAULO,35001041,JOHANN GUTENBERG
3550308,SAO PAULO,35001053,LUIZ AMARAL WAGNER PROF
3550308,SAO PAULO,35001065,DAVID EUGENIO DOS SANTOS PROF
3550308,SAO PAULO,35001077,JUDITH GUIMARAES DOS SANTOS PROFA
3550308,SAO PAULO,35001089,GABRIELA MISTRAL
3550308,SAO PAULO,35001090,JOSE MARIA REYS PROF
3550308,SAO PAULO,35001119,EURIPEDES DE CASTRO
3550308,SAO PAULO,35001120,EXPEDICIONARIO BRASILEIRO
3550308,SAO PAULO,35001132,PEDRO ALEXANDRINO
3550308,SAO PAULO,35001144,JULIO PESTANA
3550308,SAO PAULO,35001156,SILVA JARDIM
3550308,SAO PAULO,35001168,ALFREDO INACIO TRINDADE
3550308,SAO PAULO,35001173,ALBINO CESAR
3550308,SAO PAULO,35001181,RAFAEL DE MORAES LIMA PROF
3550308,SAO PAULO,35001193,PHILOMENA BAYLAO PROFA
3550308,SAO PAULO,35001200,LAEL DE MOURA PRADO PROF
